Number,SMILES,IC50 NDM (uM),,,,
124,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC=C(F)C=C3,8.4,,,,
245,OC(C1=CC(NCC2=CC=CC=C2)=CC(C(O)=O)=N1)=O,8.4,,,,
64,OC(C1=NC=CC=C1NC(C2=CC(Cl)=C(C)C=C2)=O)=O,8.5,,,,
306,SCC(CCCCC1=CC=CC=C1)P(O)(O)=O,8.5,,,,
115,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC=CC=C3,8.7,,,,
149,OC([C@H](C1=CC=CC=C1)NC([C@H](C)CS)=O)=O,8.77,,,,
78,OC(C1=C(SC=N1)NS(=O)(CC2=CC(C#N)=CC=C2)=O)=O,8.8,,,,
164,OC(C1=CC=C(C2=C(C(F)(F)F)C=CC=C2)C=C1CS)=O,8.82,,,,
17,OC([C@@H](N)CN[C@H](C(O)=O)CN1[C@@H](C(O)=O)CCC1)=O,9,,,,
277,OC([C@@H](N)CN[C@H](C(O)=O)CN1[C@@H](C(O)=O)CCC1)=O,9,,,,
932,O=S(NC(C=C1)=CC=C1/C=N/NC2=CC=NC3=CC4=C(OCO4)C=C32)(C)=O,9,,,,
939,CC1=NC2=CC(OC)=CC=C2C(N/N=C/C3=CC=C(NS(=O)(C)=O)C=C3)=C1,9,,,,
246,OC(C1=CC(NCCC2=CC=CC=C2)=CC(C(O)=O)=N1)=O,9.1,,,,
269,OC([C@H](N)CN[C@H](C(O)=O)CN[C@@H](CC(O)=O)C(O)=O)=O,9.3,,,,
318,N[C@H](C(O)=O)CN[C@H](C(O)=O)CN[C@H](C(O)=O)CC(O)=O,9.3,,,,
448,ClC1=C(/C=C2SC(N(CC(NN3CCN(C)CC3)=O)C\2=O)=S)C(Cl)=CC=C1Cl,9.44,,,,
406,OC(CC(C(O)=O)NCC(C(O)=O)NCC(C(O)=O)N)=O,9.9,,,,
314,C(CCCC1=CC=CC=C1)(C2=NN=NN2)CSC3CCCCC3,10,,,,
925,CC1=NC2=CC3=C(OCO3)C=C2C(N/N=C/C4=CC=C(NS(=O)(C)=O)C=C4)=C1,10,,,,
930,CC1=NC2=CC3=C(OCO3)C=C2C(N/N=C/C4=CC=C(C=O)C=C4)=C1,10,,,,
947,O=C1C2=C(C([C@@H]3OC(C=C(O)C=C4O)=C4C[C@@H]3OC(C5=CC(O)=C(O)C(O)=C5)=O)=CC(O)=C2O)C=C([C@H]6[C@@H](OC(C7=CC(O)=C(O)C(O)=C7)=O)CC(C(O)=CC(O)=C8)=C8O6)C=C1O,10.1,,,,
321,N[C@@H](C(O)=O)CN[C@@H](C(O)=O)CN[C@H](C(O)=O)CC(O)=O,10.2,,,,
874,OB(O)[C@H](NC(CS)=O)CC1=COC2=C1C=CC=C2,10.2,,,,
169,OC(C1=CC=C(C2=CC=CO2)C=C1CS)=O,10.21,,,,
270,OC([C@@H](N)CN[C@@H](C(O)=O)CN[C@@H](CC(O)=O)C(O)=O)=O,10.4,,,,
274,OC([C@@H](C)CN[C@H](C(O)=O)CN[C@@H](CC(O)=O)C(O)=O)=O,10.4,,,,
500,SCC(S)CO,10.4,,,,
123,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=C(Cl)C=C(Cl)C=C3,10.6,,,,
125,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC=C(C(F)(F)F)C=C3,10.6,,,,
937,CC1=NC2=CC=C(OC)C=C2C(N/N=C/C3=CC=C(NS(=O)(C)=O)C=C3)=C1,11,,,,
1013,O=C(NNC(S[K])=S)C1=C(N)C=CC=C1,11.39,,,,
322,N[C@H](C(O)=O)CN[C@H](C(O)=O)CN[C@@H](C(O)=O)CC(O)=O,11.6,,,,
150,OC([C@H](C1=CC=C(F)C=C1)NC([C@H](C)CS)=O)=O,11.66,,,,
320,N[C@@H](C(O)=O)CN[C@H](C(O)=O)CN[C@H](C(O)=O)CC(O)=O,11.9,,,,
121,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=CC=C(OC)C=C3,12,,,,
307,SCC(CCCC1=CC=CC=C1)C2=NN=NN2,12,,,,
338,[H][C@@]1(CS[C@H]2CS)N2[C@@H](C(O)=O)C(C)(C)S1,12,,,,
